District.Id;3LC;City;Routes (Booking API & Tariff Search API);isCity;COD;COUNTRY
JTG571;WNB;WONOSOBO;WONOSOBO, WONOSOBO;No;Yes;INDONESIA
JTG570;BOY;BOYOLALI;WONOSEGORO, BOYOLALI;No;No;INDONESIA
DIY78;GUK;GUNUNG KIDUL;WONOSARI, GUNUNGKIDUL;No;Yes;INDONESIA
JTM656;MLG;MALANG;WONOSARI, MALANG;No;Yes;INDONESIA
JTM655;SBO;BONDOWOSO;WONOSARI, BONDOWOSO;No;Yes;INDONESIA
JTG569;KLE;KLATEN;WONOSARI, KLATEN;No;Yes;INDONESIA
GTO77;GTO;GORONTALO;WONOSARI, BOALEMO;No;Yes;INDONESIA
BOYSA287;BOY;BOYOLALI;WONOSAMODRO, BOYOLALI;No;No;INDONESIA
JTG568;DMK;DEMAK;WONOSALAM, DEMAK;No;Yes;INDONESIA
JTM654;JOM;JOMBANG;WONOSALAM, JOMBANG;No;Yes;INDONESIA
JTM653;PSR;PASURUAN;WONOREJO, PASURUAN;No;Yes;INDONESIA
JTG567;PKL;PEKALONGAN;WONOPRINGGO, PEKALONGAN;No;Yes;INDONESIA
SLB64;MJU;MAMUJU;WONOMULYO, POLEWALI MANDAR;No;No;INDONESIA
SUBCONS543;SUB;SURABAYA;WONOMERTO, PROBOLINGGO;No;Yes;INDONESIA
JTM651;SUB;SURABAYA;WONOKROMO, SURABAYA;No;Yes;INDONESIA
JTG566;PKL;PEKALONGAN;WONOKERTO, PEKALONGAN;No;Yes;INDONESIA
JTG565;WNR;WONOGIRI;WONOGIRI, WONOGIRI;No;Yes;INDONESIA
JTM650;BLI;BLITAR;WONODADI, BLITAR;No;Yes;INDONESIA
JTM649;SUB;SURABAYA;WONOCOLO, SURABAYA;No;Yes;INDONESIA
JTG564;MGG;TEMANGGUNG;WONOBOYO, TEMANGGUNG;No;Yes;INDONESIA
JTM648;SUB;SURABAYA;WONOAYU, SIDOARJO;No;Yes;INDONESIA
JTM647;MDN;MADIUN;WONOASRI, MADIUN;No;Yes;INDONESIA
SUBCONS1185;SUB;SURABAYA;WONOASIH, PROBOLINGGO;No;Yes;INDONESIA
WMXCONS2346;WMX;WAMENA;WONIKI, TOLIKARA;No;No;INDONESIA
JTM645;BWX;BANYUWANGI;WONGSOREJO, BANYUWANGI;No;Yes;INDONESIA
PUMCONS120;KDI;KENDARI;WONGGEDUKU BARAT, KONAWE;No;No;INDONESIA
SLR190;KDI;KENDARI;WONGGEDUKU, KONAWE;No;No;INDONESIA
DJJCONS2290;SOQ;SORONG;WONDIBOY, TELUK WONDAMA;No;No;INDONESIA
DJJCONS2288;DJJ;JAYAPURA;WONAWA, KEPULAUAN YAPEN;No;No;INDONESIA
ENECONS169;ENE;ENDE;WOLOWARU, ENDE;No;No;INDONESIA
NTT296;BJW;BAJAWA;WOLOWAE, NAGEKEO;No;No;INDONESIA
SLR228;KDI;KENDARI;WOLOWA, BUTON;No;No;INDONESIA
NTT295;BJW;BAJAWA;WOLOMEZE, NGADA;No;No;INDONESIA
